Have a good word for everyone.,Agreeable,1
Believe that others have good intentions.,Agreeable,1
Respect others.,Agreeable,1
Accept people as they are.,Agreeable,1
Make people feel at ease.,Agreeable,1
Am concerned about others.,Agreeable,1
Trust what people say.,Agreeable,1
Sympathize with others' feelings.,Agreeable,1
Am easy to satisfy.,Agreeable,1
Treat all people equally.,Agreeable,1
Have a sharp tongue.,Agreeable,-1
Cut others to pieces.,Agreeable,-1
Suspect hidden motives in others.,Agreeable,-1
Get back at others.,Agreeable,-1
Insult people.,Agreeable,-1
Believe that I am better than others.,Agreeable,-1
Contradict others.,Agreeable,-1
Make demands on others.,Agreeable,-1
Hold a grudge.,Agreeable,-1
Am out for my own personal gain.,Agreeable,-1
Am always prepared.,Conscientious,1
Pay attention to details.,Conscientious,1
Get chores done right away.,Conscientious,1
Carry out my plans.,Conscientious,1
Make plans and stick to them.,Conscientious,1
Complete tasks successfully.,Conscientious,1
Do things according to a plan.,Conscientious,1
Am exacting in my work.,Conscientious,1
Finish what I start.,Conscientious,1
Follow through with my plans.,Conscientious,1
Waste my time.,Conscientious,-1
Find it difficult to get down to work.,Conscientious,-1
Do just enough work to get by.,Conscientious,-1
Don't see things through.,Conscientious,-1
Shirk my duties.,Conscientious,-1
Mess things up.,Conscientious,-1
Leave things unfinished.,Conscientious,-1
Don't put my mind on the task at hand.,Conscientious,-1
Make a mess of things.,Conscientious,-1
Need a push to get started.,Conscientious,-1
Feel comfortable around people.,Extravert,1
Make friends easily.,Extravert,1
Am skilled in handling social situations.,Extravert,1
Am the life of the party.,Extravert,1
Know how to captivate people.,Extravert,1
Start conversations.,Extravert,1
Warm up quickly to others.,Extravert,1
Talk to a lot of different people at parties.,Extravert,1
Don't mind being the center of attention.,Extravert,1
Cheer people up.,Extravert,1
Have little to say.,Extravert,-1
Keep in the background.,Extravert,-1
Would describe my experiences as somewhat dull.,Extravert,-1
Don't like to draw attention to myself.,Extravert,-1
Don't talk a lot.,Extravert,-1
Avoid contacts with others.,Extravert,-1
Am hard to get to know.,Extravert,-1
Retreat from others.,Extravert,-1
Find it difficult to approach others.,Extravert,-1
Keep others at a distance.,Extravert,-1
Often feel blue.,Neurotic,1
Dislike myself.,Neurotic,1
Am often down in the dumps.,Neurotic,1
Have frequent mood swings.,Neurotic,1
Panic easily.,Neurotic,1
Am filled with doubts about things.,Neurotic,1
Feel threatened easily.,Neurotic,1
Get stressed out easily.,Neurotic,1
Fear for the worst.,Neurotic,1
Worry about things.,Neurotic,1
Seldom feel blue.,Neurotic,-1
Feel comfortable with myself.,Neurotic,-1
Rarely get irritated.,Neurotic,-1
Am not easily bothered by things.,Neurotic,-1
Am very pleased with myself.,Neurotic,-1
Am relaxed most of the time.,Neurotic,-1
Seldom get mad.,Neurotic,-1
Am not easily frustrated.,Neurotic,-1
Remain calm under pressure.,Neurotic,-1
Rarely lose my composure.,Neurotic,-1
Believe in the importance of art.,Open,1
Have a vivid imagination.,Open,1
Tend to vote for liberal political candidates.,Open,1
Carry the conversation to a higher level.,Open,1
Enjoy hearing new ideas.,Open,1
Enjoy thinking about things.,Open,1
Can say things beautifully.,Open,1
Enjoy wild flights of fantasy.,Open,1
Get excited by new ideas.,Open,1
Have a rich vocabulary.,Open,1
Am not interested in abstract ideas.,Open,-1
Do not like art.,Open,-1
Avoid philosophical discussions.,Open,-1
Do not enjoy going to art museums.,Open,-1
Tend to vote for conservative political candidates.,Open,-1
Do not like poetry.,Open,-1
Rarely look for a deeper meaning in things.,Open,-1
Believe that too much tax money goes to support artists.,Open,-1
Am not interested in theoretical discussions.,Open,-1
Have difficulty understanding abstract ideas.,Open,-1
